Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.0102		0.0092		0.0000		0.4777		0.00029099
115		0.0101		0.0092		0.0000		0.4597		0.00028907
116		0.0102		0.0089		0.0000		0.4635		0.00028716
117		0.0100		0.0090		0.0000		0.4682		0.00028525
118		0.0100		0.0088		0.0000		0.4575		0.00028333
119		0.0101		0.0088		0.0000		0.4689		0.00028141
120		0.0101		0.0093		0.0000		0.4690		0.00027949
121		0.0103		0.0100		0.0000		0.4560		0.00027757
122		0.0100		0.0099		0.0000		0.4371		0.00027565
123		0.0098		0.0088		0.0000		0.4710		0.00027372
124		0.0099		0.0089		0.0000		0.4718		0.00027180
125		0.0097		0.0100		0.0000		0.4524		0.00026987
126		0.0100		0.0091		0.0000		0.4749		0.00026794
127		0.0099		0.0091		0.0000		0.4630		0.00026601
128		0.0099		0.0099		0.0000		0.4663		0.00026408
129		0.0098		0.0087		0.0000		0.4682		0.00026215
130		0.0097		0.0087		0.0000		0.4762		0.00026021
131		0.0098		0.0098		0.0000		0.4596		0.00025828
132		0.0100		0.0091		0.0000		0.4645		0.00025634
133		0.0098		0.0086		0.0000		0.4662		0.00025440
134		0.0097		0.0096		0.0000		0.4559		0.00025246
135		0.0097		0.0087		0.0000		0.4820		0.00025052
136		0.0099		0.0086		0.0000		0.4698		0.00024857
137		0.0098		0.0087		0.0000		0.4794		0.00024663
138		0.0098		0.0088		0.0000		0.4771		0.00024468
139		0.0097		0.0087		0.0000		0.4755		0.00024273
140		0.0096		0.0086		0.0000		0.4805		0.00024078
141		0.0095		0.0086		0.0000		0.4825		0.00023882
142		0.0096		0.0091		0.0000		0.4704		0.00023687
143		0.0096		0.0086		0.0000		0.4766		0.00023491
144		0.0095		0.0084		0.0000		0.4885		0.00023295
145		0.0096		0.0086		0.0000		0.4806		0.00023099
146		0.0096		0.0088		0.0000		0.4704		0.00022903
147		0.0096		0.0094		0.0000		0.4729		0.00022707
148		0.0095		0.0085		0.0000		0.4821		0.00022510
149		0.0094		0.0089		0.0000		0.4716		0.00022313
150		0.0094		0.0084		0.0000		0.4755		0.00022116
151		0.0093		0.0084		0.0000		0.4842		0.00021919
152		0.0095		0.0086		0.0000		0.4720		0.00021722
153		0.0093		0.0082		0.0000		0.4884		0.00021524
154		0.0094		0.0086		0.0000		0.4857		0.00021326
155		0.0093		0.0083		0.0000		0.4681		0.00021128
156		0.0095		0.0082		0.0000		0.4860		0.00020930
157		0.0094		0.0084		0.0000		0.4823		0.00020732
158		0.0093		0.0084		0.0000		0.4872		0.00020533
159		0.0095		0.0083		0.0000		0.4923		0.00020334
160		0.0091		0.0081		0.0000		0.4798		0.00020135
161		0.0091		0.0083		0.0000		0.4769		0.00019936
162		0.0093		0.0081		0.0000		0.4881		0.00019737
163		0.0092		0.0079		0.0000		0.4981		0.00019537
164		0.0091		0.0078		0.0000		0.4920		0.00019337
165		0.0092		0.0084		0.0000		0.4868		0.00019137
166		0.0091		0.0080		0.0000		0.4845		0.00018937
167		0.0091		0.0082		0.0000		0.4916		0.00018736
168		0.0090		0.0083		0.0000		0.4932		0.00018535
169		0.0091		0.0079		0.0000		0.4905		0.00018334
170		0.0091		0.0079		0.0000		0.4932		0.00018133
171		0.0089		0.0081		0.0000		0.4874		0.00017931
172		0.0091		0.0078		0.0000		0.4914		0.00017729
173		0.0090		0.0078		0.0000		0.4983		0.00017527
174		0.0090		0.0080		0.0000		0.4973		0.00017325
175		0.0089		0.0080		0.0000		0.4910		0.00017122
176		0.0089		0.0078		0.0000		0.4922		0.00016919
177		0.0089		0.0079		0.0000		0.4957		0.00016716
178		0.0089		0.0079		0.0000		0.4855		0.00016513
179		0.0088		0.0075		0.0000		0.4993		0.00016309
180		0.0089		0.0078		0.0000		0.4928		0.00016105
181		0.0089		0.0077		0.0000		0.5002		0.00015901
182		0.0086		0.0077		0.0000		0.4953		0.00015696
183		0.0088		0.0077		0.0000		0.4994		0.00015491
184		0.0088		0.0077		0.0000		0.4966		0.00015286
185		0.0087		0.0074		0.0000		0.5058		0.00015080
186		0.0087		0.0078		0.0000		0.4877		0.00014875
187		0.0086		0.0074		0.0000		0.4997		0.00014669
188		0.0087		0.0076		0.0000		0.5013		0.00014462
189		0.0086		0.0074		0.0000		0.5060		0.00014255
190		0.0086		0.0074		0.0000		0.5060		0.00014048
191		0.0086		0.0077		0.0000		0.4979		0.00013841
192		0.0085		0.0073		0.0000		0.5113		0.00013633
193		0.0087		0.0077		0.0000		0.5020		0.00013425
194		0.0083		0.0080		0.0000		0.4889		0.00013216
